Material,a,b,Stability,Composition,Li,Be,Na,Mg,Al,Si,P,S,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Ba,La,Ce,Pr,Nd,Pm,Eu,Gd,Tb,Dy,Ho,Er,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Ac,Pa,avg_s_ve,avg_p_ve,avg_d_ve,avg_f_ve,frac_s_ve,frac_p_ve,frac_d_ve,frac_f_ve,MolWeight
Mn2AlW,4.143,4.143,stable,Mn2 Al1 W1,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,2,0.25,3.5,3.5,0.216216216,0.027027027,0.378378378,0.378378378,320.697636
Mn2CrCo,4.162,4.162,stable,Mn2 Cr1 Co1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,5.5,0,0.24137931,0,0.75862069,0,220.805398
Mn2IrRh,4.283,4.283,stable,Mn2 Ir1 Rh1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1.75,0,6.25,3.5,0.152173913,0,0.543478261,0.304347826,404.998598
Mn2NbAl,4.236,4.236,stable,Mn2 Nb1 Al1,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0.25,3.5,0,0.318181818,0.045454545,0.636363636,0,229.764016
Mn2PdPt,4.401,4.401,stable,Mn2 Pd1 Pt1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,1.25,0,7.25,3.5,0.104166667,0,0.604166667,0.291666667,411.374098
Mn2PtRh,4.343,4.343,stable,Mn2 Pt1 Rh1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,1.5,0,6.75,3.5,0.127659574,0,0.574468085,0.29787234,407.859598
Mn2VGa,4.283,4.283,stable,Mn2 V1 Ga1,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.25,5.75,0,0.25,0.03125,0.71875,0,230.540598
Mn2VSi,3.984,3.984,stable,Mn2 V1 Si1,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,3.25,0,0.347826087,0.086956522,0.565217391,0,188.903098
MnAlAu2,4.5,4.5,stable,Mn1 Al1 Au2,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.5,0.25,6.25,7,0.1,0.016666667,0.416666667,0.466666667,475.852687
MnAlCo2,4.002,4.002,stable,Mn1 Al1 Co2,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.25,4.75,0,0.285714286,0.035714286,0.678571429,0,199.785987
MnAlFe2,3.996,3.996,stable,Mn1 Al1 Fe2,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.25,4.25,0,0.307692308,0.038461538,0.653846154,0,193.609587
MnAlIr2,4.264,4.264,stable,Mn1 Al1 Ir2,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,2,0.25,4.75,7,0.142857143,0.017857143,0.339285714,0.5,466.353587
MnAlNi2,4.077,4.077,stable,Mn1 Al1 Ni2,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.25,5.25,0,0.266666667,0.033333333,0.7,0,199.306387
MnAlOs2,4.221,4.221,stable,Mn1 Al1 Os2,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,2,0.25,4.25,7,0.148148148,0.018518519,0.314814815,0.518518519,462.379587
MnAlRh2,4.252,4.252,stable,Mn1 Al1 Rh2,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.25,5.25,0,0.214285714,0.035714286,0.75,0,287.730587
MnCo2Ge,4.021,4.021,stable,Mn1 Co2 Ge1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,7.25,0,0.205128205,0.051282051,0.743589744,0,245.444449
MnCo2Sb,4.225,4.225,stable,Mn1 Co2 Sb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.75,7.25,0,0.2,0.075,0.725,0,294.564449
MnCo2Si,3.949,3.949,stable,Mn1 Co2 Si1,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,4.75,0,0.275862069,0.068965517,0.655172414,0,200.889949
MnCo2Sn,4.211,4.211,stable,Mn1 Co2 Sn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,7.25,0,0.205128205,0.051282051,0.743589744,0,291.514449
MnCuPd2,4.303,4.303,stable,Mn1 Cu1 Pd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,8.75,0,0.078947368,0,0.921052632,0,331.324049
MnFe2Si,3.922,3.922,stable,Mn1 Fe2 Si1,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,4.25,0,0.296296296,0.074074074,0.62962963,0,194.713549
MnGaCo2,4.016,4.016,stable,Mn1 Ga1 Co2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.25,7.25,0,0.210526316,0.026315789,0.763157895,0,242.527449
MnGaRh2,4.262,4.262,stable,Mn1 Ga1 Rh2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.25,7.75,0,0.157894737,0.026315789,0.815789474,0,330.472049
MnGeRh2,4.272,4.272,stable,Mn1 Ge1 Rh2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,7.75,0,0.153846154,0.051282051,0.794871795,0,333.389049
MnGeRu2,4.224,4.224,stable,Mn1 Ge1 Ru2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,7.25,0,0.162162162,0.054054054,0.783783784,0,329.718049
MnInPd2,4.513,4.513,stable,Mn1 In1 Pd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,8.75,0,0.1,0.025,0.875,0,382.596049
MnInRh2,4.4265,4.4265,stable,Mn1 In1 Rh2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.25,7.75,0,0.157894737,0.026315789,0.815789474,0,375.567049
MnPd2Au,4.468,4.468,stable,Mn1 Pd2 Au1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.75,0,8.75,3.5,0.057692308,0,0.673076923,0.269230769,464.744599
MnSiRh2,4.21,4.21,stable,Mn1 Si1 Rh2,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,5.25,0,0.206896552,0.068965517,0.724137931,0,288.834549
MnSiRu2,4.161,4.161,stable,Mn1 Si1 Ru2,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,4.75,0,0.222222222,0.074074074,0.703703704,0,285.163549
MnSiTc2,4.19,4.19,stable,Mn1 Si1 Tc2,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,3.75,0,0.32,0.08,0.6,0,279.023549
MnSnPd2,4.521,4.521,stable,Mn1 Sn1 Pd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,8.75,0,0.097560976,0.048780488,0.853658537,0,386.488049
MnSnRh2,4.428,4.428,stable,Mn1 Sn1 Rh2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,7.75,0,0.153846154,0.051282051,0.794871795,0,379.459049
MnSnRu2,4.392,4.392,stable,Mn1 Sn1 Ru2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,7.25,0,0.162162162,0.054054054,0.783783784,0,375.788049
MnTc2Ge,4.253,4.253,unstable,Mn1 Tc2 Ge1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,6.25,0,0.228571429,0.057142857,0.714285714,0,323.578049
MnTc2Sb,4.409,4.409,stable,Mn1 Tc2 Sb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.75,6.25,0,0.222222222,0.083333333,0.694444444,0,372.698049
MnV2Cr,4.163,4.163,stable,Mn1 V2 Cr1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,4,0,0.304347826,0,0.695652174,0,208.817149
MnV2Os,4.161,4.161,stable,Mn1 V2 Os1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,2,0,4.25,3.5,0.205128205,0,0.435897436,0.358974359,347.051049
MnVRu2,4.241,4.241,stable,Mn1 V1 Ru2,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,5.5,0,0.214285714,0,0.785714286,0,308.019549
MnZnIr2,4.25,4.25,stable,Mn1 Zn1 Ir2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,2,0,7.25,7,0.123076923,0,0.446153846,0.430769231,504.781049
MnZnNi2,4.069,4.069,stable,Mn1 Zn1 Ni2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7.75,0,0.205128205,0,0.794871795,0,237.733849
MnZnPd2,4.341,4.341,stable,Mn1 Zn1 Pd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.75,0,0.102564103,0,0.897435897,0,333.187049
MnZnRh2,4.253,4.253,stable,Mn1 Zn1 Rh2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,7.75,0,0.162162162,0,0.837837838,0,326.158049
NaCd2Pt,4.734,4.734,unstable,Na1 Cd2 Pt1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,1.5,0,7.25,3.5,0.12244898,0,0.591836735,0.285714286,442.88977
NaCd2Rh,4.697,4.697,unstable,Na1 Cd2 Rh1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,7,0,0.176470588,0,0.823529412,0,350.71727
NaCdPd2,4.646,4.646,unstable,Na1 Cd1 Pd2,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,7.5,0,0.090909091,0,0.909090909,0,348.24077
NaHgPd2,4.614,4.614,unstable,Na1 Hg1 Pd2,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.75,0,7.5,3.5,0.063829787,0,0.638297872,0.29787234,436.41977
NaInHg2,5.143,5.143,unstable,Na1 In1 Hg2,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.75,0.25,7.5,7,0.106060606,0.015151515,0.454545455,0.424242424,538.98777
NaTlPd2,4.652,4.652,stable,Na1 Tl1 Pd2,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.75,0.25,7.5,3.5,0.0625,0.020833333,0.625,0.291666667,440.21307
Nb2MoOs,4.535,4.535,stable,Nb2 Mo1 Os1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,1.25,0,4.75,3.5,0.131578947,0,0.5,0.368421053,471.98276
Nb2MoRu,4.525,4.525,stable,Nb2 Mo1 Ru1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0.166666667,0,0.833333333,0,382.82276
Nb2ReRu,4.51,4.51,stable,Nb2 Re1 Ru1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1.25,0,5,3.5,0.128205128,0,0.512820513,0.358974359,473.08976
Nb2ReTc,4.519,4.519,stable,Nb2 Re1 Tc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1.5,0,4.5,3.5,0.157894737,0,0.473684211,0.368421053,470.01976
Nb2TcOs,4.508,4.508,stable,Nb2 Tc1 Os1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,1.5,0,4.75,3.5,0.153846154,0,0.487179487,0.358974359,474.04276
Nb2TcRu,4.495,4.495,stable,Nb2 Tc1 Ru1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,5,0,0.2,0,0.8,0,384.88276
NbAlCo2,4.206,4.206,stable,Nb1 Al1 Co2,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0.25,4.5,0,0.269230769,0.038461538,0.692307692,0,237.754318
NbAlFe2,4.165,4.165,stable,Nb1 Al1 Fe2,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0.25,4,0,0.291666667,0.041666667,0.666666667,0,231.577918
NbAlOs2,4.393,4.393,stable,Nb1 Al1 Os2,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1.75,0.25,4,7,0.134615385,0.019230769,0.307692308,0.538461538,500.347918
NbAlRu2,4.365,4.365,stable,Nb1 Al1 Ru2,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0.25,4.5,0,0.208333333,0.041666667,0.75,0,322.027918
NbGaCo2,4.2,4.2,stable,Nb1 Ga1 Co2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0.25,7,0,0.194444444,0.027777778,0.777777778,0,280.49578
NbGaFe2,4.163,4.163,stable,Nb1 Ga1 Fe2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0.25,6.5,0,0.205882353,0.029411765,0.764705882,0,274.31938
NbGaOs2,4.402,4.402,stable,Nb1 Ga1 Os2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1.75,0.25,6.5,7,0.112903226,0.016129032,0.419354839,0.451612903,543.08938
NbGaRu2,4.368,4.368,stable,Nb1 Ga1 Ru2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0.25,7,0,0.147058824,0.029411765,0.823529412,0,364.76938
NbGaTc2,4.41,4.41,stable,Nb1 Ga1 Tc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0.25,6,0,0.21875,0.03125,0.75,0,358.62938
NbGeRu2,4.377,4.377,stable,Nb1 Ge1 Ru2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0.5,7,0,0.142857143,0.057142857,0.8,0,367.68638
NbInRu2,4.497,4.497,stable,Nb1 In1 Ru2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0.25,7,0,0.147058824,0.029411765,0.823529412,0,409.86438
