Material,a,b,Stability,Composition,Li,Be,Na,Mg,Al,Si,P,S,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Ba,La,Ce,Pr,Nd,Pm,Eu,Gd,Tb,Dy,Ho,Er,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Ac,Pa,avg_s_ve,avg_p_ve,avg_d_ve,avg_f_ve,frac_s_ve,frac_p_ve,frac_d_ve,frac_f_ve,MolWeight
Al2CoRu,4.116,4.116,stable,Al2 Co1 Ru1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0.5,3.5,0,0.304347826,0.086956522,0.608695652,0,213.966276
Al2FeCo,4.001,4.001,stable,Al2 Fe1 Co1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,3.25,0,0.347826087,0.086956522,0.565217391,0,168.741276
Al2FeIr,4.1385,4.1385,stable,Al2 Fe1 Ir1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,2,0.5,3.25,3.5,0.216216216,0.054054054,0.351351351,0.378378378,302.025076
Al2IrOs,4.234,4.234,unstable,Al2 Ir1 Os1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,2,0.5,3.25,7,0.156862745,0.039215686,0.254901961,0.549019608,436.410076
Al2IrRh,4.225,4.225,stable,Al2 Ir1 Rh1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1.75,0.5,3.75,3.5,0.184210526,0.052631579,0.394736842,0.368421053,349.085576
Al2IrRu,4.22,4.22,unstable,Al2 Ir1 Ru1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1.75,0.5,3.5,3.5,0.189189189,0.054054054,0.378378378,0.378378378,347.250076
Al2NiRu,4.133,4.133,stable,Al2 Ni1 Ru1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0.5,3.75,0,0.291666667,0.083333333,0.625,0,213.726476
Al2OsRh,4.224,4.224,unstable,Al2 Os1 Rh1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,1.75,0.5,3.5,3.5,0.189189189,0.054054054,0.378378378,0.378378378,347.098576
Al2PdRu,4.246,4.246,stable,Al2 Pd1 Ru1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0.5,4.25,0,0.208333333,0.083333333,0.708333333,0,261.453076
Al2RuPt,4.248,4.248,stable,Al2 Ru1 Pt1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,1.5,0.5,4,3.5,0.157894737,0.052631579,0.421052632,0.368421053,350.111076
Al2RuRh,4.208,4.208,unstable,Al2 Ru1 Rh1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,3.75,0,0.260869565,0.086956522,0.652173913,0,257.938576
AlCrRu2,4.2,4.2,stable,Al1 Cr1 Ru2,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0.25,4.75,0,0.2,0.04,0.76,0,281.117638
AlCuAu2,4.404,4.404,stable,Al1 Cu1 Au2,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.25,0.25,7.5,7,0.078125,0.015625,0.46875,0.4375,484.460638
AlFe2Si,3.923,3.923,stable,Al1 Fe2 Si1,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.75,3,0,0.347826087,0.130434783,0.52173913,0,166.757038
AlFe2W,4.115,4.115,stable,Al1 Fe2 W1,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,2,0.25,4,3.5,0.205128205,0.025641026,0.41025641,0.358974359,322.511538
AlFeCo2,3.998,3.998,stable,Al1 Fe1 Co2,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.25,5,0,0.275862069,0.034482759,0.689655172,0,200.692938
AlGeRu2,4.221,4.221,stable,Al1 Ge1 Ru2,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.75,6,0,0.181818182,0.090909091,0.727272727,0,301.761538
AlVCo2,4.045,4.045,stable,Al1 V1 Co2,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.25,4.25,0,0.307692308,0.038461538,0.653846154,0,195.789438
AlVFe2,4,4,stable,Al1 V1 Fe2,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.25,3.75,0,0.333333333,0.041666667,0.625,0,189.613038
AlZnIr2,4.241,4.241,stable,Al1 Zn1 Ir2,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,2,0.25,6,7,0.131147541,0.016393443,0.393442623,0.459016393,476.824538
AlZnRh2,4.215,4.215,unstable,Al1 Zn1 Rh2,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.25,6.5,0,0.181818182,0.03030303,0.787878788,0,298.201538
BaSrTl2,5.92,5.92,stable,Ba1 Sr1 Tl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,2,0.5,5,7,0.137931034,0.034482759,0.344827586,0.482758621,633.7136
BeCo2Ge,3.845,3.845,stable,Be1 Co2 Ge1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,6,0,0.235294118,0.058823529,0.705882353,0,199.518582
BeCo2Si,3.752,3.752,stable,Be1 Co2 Si1,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,3.5,0,0.333333333,0.083333333,0.583333333,0,154.964082
BeFe2Si,3.78,3.78,stable,Be1 Fe2 Si1,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,3,0,0.363636364,0.090909091,0.545454545,0,148.787682
BeSiNi2,3.813,3.813,stable,Be1 Si1 Ni2,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,4,0,0.307692308,0.076923077,0.615384615,0,154.484482
Ca2PdAu,5.038,5.038,stable,Ca2 Pd1 Au1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,1.25,0,5,3.5,0.128205128,0,0.512820513,0.358974359,383.54255
CaAcRh2,5.031,5.031,stable,Ca1 Ac1 Rh2,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1.5,0,4.25,0,0.260869565,0,0.739130435,0,472.889
CaAg2Sn,5.013,5.013,stable,Ca1 Ag2 Sn1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,7.5,0,0.157894737,0.052631579,0.789473684,0,374.5244
CaCdAu2,4.928,4.928,stable,Ca1 Cd1 Au2,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.5,0,7.5,7,0.09375,0,0.46875,0.4375,546.4221
CaCdHg2,5.129,5.129,stable,Ca1 Cd1 Hg2,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,2,0,7.5,7,0.121212121,0,0.454545455,0.424242424,553.669
CaInAg2,4.959,4.959,stable,Ca1 In1 Ag2,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.25,7.5,0,0.162162162,0.027027027,0.810810811,0,370.6324
CaInHg2,5.175,5.175,stable,Ca1 In1 Hg2,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,2,0.25,7.5,7,0.119402985,0.014925373,0.447761194,0.417910448,556.076
CaInPd2,4.763,4.763,unstable,Ca1 In1 Pd2,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,7.5,0,0.114285714,0.028571429,0.857142857,0,367.736
CaMgCd2,5.136,5.136,unstable,Ca1 Mg1 Cd2,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0.285714286,0,0.714285714,0,289.205
CaMgHg2,5.094,5.094,stable,Ca1 Mg1 Hg2,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,2,0,5,7,0.142857143,0,0.357142857,0.5,465.563
CaSiNi2,6.843,9.144,unstable,Ca1 Si1 Ni2,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,4,0,0.307692308,0.076923077,0.615384615,0,185.5503
CaSnAu2,4.968,4.968,stable,Ca1 Sn1 Au2,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.5,0.5,7.5,7,0.090909091,0.03030303,0.454545455,0.424242424,552.7211
CaSnRh2,4.631,4.631,stable,Ca1 Sn1 Rh2,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,6.5,0,0.176470588,0.058823529,0.764705882,0,364.599
Cd2AgAu,4.742,4.742,stable,Cd2 Ag1 Au1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,1.5,0,10,3.5,0.1,0,0.666666667,0.233333333,529.65675
Cd2AgPt,4.664,4.664,stable,Cd2 Ag1 Pt1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,1.5,0,9.75,3.5,0.101694915,0,0.661016949,0.237288136,527.7682
Cd2AgRh,4.621,4.621,stable,Cd2 Ag1 Rh1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,9.5,0,0.136363636,0,0.863636364,0,435.5957
Cd2PdRh,4.552,4.552,stable,Cd2 Pd1 Rh1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,9.5,0,0.11627907,0,0.88372093,0,434.1475
Cd2PtRh,4.562,4.562,stable,Cd2 Pt1 Rh1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,1.5,0,9.25,3.5,0.105263158,0,0.649122807,0.245614035,522.8055
Cd2RhAu,4.625,4.625,stable,Cd2 Rh1 Au1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,1.5,0,9.5,3.5,0.103448276,0,0.655172414,0.24137931,524.69405
CdAgPd2,4.542,4.542,stable,Cd1 Ag1 Pd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,10,0,0.069767442,0,0.930232558,0,433.1192
CdGaRh2,4.391,4.391,stable,Cd1 Ga1 Rh2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.25,9,0,0.139534884,0.023255814,0.837209302,0,387.945
CdInPd2,4.605,4.605,stable,Cd1 In1 Pd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,10,0,0.088888889,0.022222222,0.888888889,0,440.069
CdInRh2,4.528,4.528,stable,Cd1 In1 Rh2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.25,9,0,0.139534884,0.023255814,0.837209302,0,433.04
CdPd2Au,4.553,4.553,stable,Cd1 Pd2 Au1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.75,0,10,3.5,0.052631579,0,0.701754386,0.245614035,522.21755
CdRh2Pb,4.668,4.668,stable,Cd1 Rh2 Pb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,1.5,0.5,9,3.5,0.103448276,0.034482759,0.620689655,0.24137931,525.422
